,Unnamed: 0,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
671942,671942,2,1.0,18.36,2.0,230,132,1,70.0,0.0,0.5,9.0,6.94,1.0,90.69,2.5,0.0,0.75
672907,672907,2,1.0,17.57,5.0,230,132,1,87.0,0.0,0.0,0.0,17.69,1.0,108.94,2.5,0.0,0.75
691824,691824,2,1.0,17.98,2.0,230,132,1,70.0,0.0,0.5,15.45,0.0,1.0,92.7,2.5,0.0,0.75
691826,691826,2,2.0,17.25,2.0,230,132,1,70.0,0.0,0.5,16.84,6.94,1.0,101.03,2.5,0.0,0.75
691934,691934,2,1.0,16.49,5.0,230,132,1,90.0,0.0,0.0,10.0,0.0,1.0,104.25,2.5,0.0,0.75
692100,692100,2,2.0,16.75,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
692178,692178,1,1.0,16.7,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
692210,692210,2,2.0,15.4,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
692221,692221,2,1.0,14.39,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
692246,692246,2,2.0,16.86,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
692270,692270,2,3.0,17.44,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
692334,692334,2,2.0,16.93,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
692563,692563,2,1.0,17.33,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
693169,693169,2,2.0,17.7,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
693444,693444,2,2.0,17.94,2.0,230,132,1,70.0,0.0,0.5,1.0,6.94,1.0,82.69,2.5,0.0,0.75
693527,693527,2,1.0,17.46,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
693659,693659,2,2.0,17.02,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
693789,693789,1,1.0,17.0,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
693907,693907,2,2.0,17.59,2.0,230,132,1,70.0,0.0,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
694317,694317,2,2.0,17.01,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
694362,694362,2,2.0,16.88,2.0,230,132,1,70.0,0.0,0.5,15.0,6.94,1.0,96.69,2.5,0.0,0.75
694396,694396,2,2.0,22.38,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
694594,694594,2,2.0,18.03,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
696798,696798,2,2.0,18.21,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
698108,698108,1,0.0,17.1,2.0,230,132,2,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
700189,700189,2,1.0,18.09,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
702510,702510,2,1.0,17.61,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
704641,704641,2,3.0,16.89,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
705891,705891,2,2.0,17.22,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
706010,706010,2,1.0,17.35,5.0,230,132,1,100.0,0.0,0.0,0.0,0.0,1.0,104.25,2.5,0.0,0.75
707467,707467,2,1.0,16.98,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
707913,707913,2,4.0,17.55,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
708988,708988,2,1.0,22.54,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
709140,709140,2,2.0,17.61,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
709287,709287,2,4.0,16.65,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
709999,709999,1,1.0,17.3,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
711329,711329,2,3.0,16.97,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
711347,711347,1,1.0,18.0,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
712367,712367,2,2.0,17.02,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
714238,714238,2,2.0,16.91,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
714248,714248,2,1.0,15.73,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
715313,715313,2,2.0,16.48,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
716739,716739,2,2.0,17.47,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
717120,717120,1,1.0,17.2,2.0,230,132,1,70.0,3.25,0.5,16.3,6.94,1.0,97.99,2.5,0.0,0.75
717308,717308,1,1.0,17.2,1.0,230,132,1,79.3,3.25,0.5,25.2,0.0,1.0,109.25,2.5,0.0,0.75
718422,718422,2,1.0,16.19,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
719677,719677,1,1.0,17.9,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
719715,719715,2,1.0,16.73,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
719948,719948,1,1.0,17.8,2.0,230,132,1,70.0,3.25,0.5,20.4,6.94,1.0,102.09,2.5,0.0,0.75
721152,721152,2,2.0,17.22,2.0,230,132,1,70.0,0.0,0.5,16.95,10.0,1.0,101.7,2.5,0.0,0.75
722252,722252,2,2.0,17.4,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
722619,722619,2,1.0,16.73,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
722818,722818,2,2.0,16.82,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
723228,723228,2,1.0,17.43,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
724153,724153,2,1.0,16.68,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
725478,725478,2,2.0,17.66,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
725815,725815,1,2.0,17.1,2.0,230,132,1,70.0,3.25,0.5,20.0,6.94,1.0,101.69,2.5,0.0,0.75
726415,726415,2,1.0,16.83,5.0,230,132,1,90.0,0.0,0.0,0.0,14.69,1.0,108.94,2.5,0.0,0.75
726983,726983,2,4.0,18.32,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
727375,727375,2,4.0,20.87,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
729343,729343,2,2.0,15.6,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
729699,729699,2,1.0,16.26,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
731355,731355,1,2.0,18.0,5.0,230,132,1,85.69,0.75,0.0,10.0,0.0,1.0,97.44,0.0,0.0,0.75
731970,731970,2,2.0,18.27,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
732545,732545,2,2.0,14.17,2.0,230,132,1,70.0,0.0,0.5,16.95,10.0,1.0,101.7,2.5,0.0,0.75
732695,732695,2,1.0,14.59,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
732787,732787,2,2.0,15.32,5.0,230,132,1,87.0,0.0,0.0,4.56,0.0,1.0,95.81,2.5,0.0,0.75
732883,732883,2,4.0,17.23,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
732972,732972,2,1.0,17.46,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
733142,733142,2,2.0,15.77,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
733498,733498,2,1.0,17.62,2.0,230,132,1,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
734373,734373,2,4.0,21.64,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
734579,734579,1,1.0,17.4,2.0,230,132,1,70.0,3.25,0.5,7.5,6.94,1.0,89.19,2.5,0.0,0.75
735233,735233,2,2.0,17.22,2.0,230,132,1,70.0,0.0,0.5,2.0,6.94,1.0,83.69,2.5,0.0,0.75
736031,736031,2,2.0,18.15,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
736936,736936,2,2.0,19.01,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
738807,738807,2,4.0,20.74,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
738871,738871,2,2.0,16.29,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
740058,740058,2,2.0,15.88,2.0,230,132,4,-70.0,0.0,-0.5,0.0,-14.94,-1.0,-89.69,-2.5,0.0,-0.75
740059,740059,2,2.0,15.88,2.0,230,132,4,70.0,0.0,0.5,0.0,14.94,1.0,89.69,2.5,0.0,0.75
740286,740286,2,2.0,17.51,2.0,230,132,1,70.0,0.0,0.5,15.0,6.94,1.0,96.69,2.5,0.0,0.75
740654,740654,2,2.0,17.45,5.0,230,132,1,95.0,0.0,0.0,0.0,0.0,1.0,99.25,2.5,0.0,0.75
741757,741757,1,1.0,17.8,2.0,230,132,1,70.0,8.25,0.5,17.3,6.94,1.0,103.99,2.5,0.0,0.75
745715,745715,2,2.0,16.57,2.0,230,132,2,70.0,5.0,0.5,0.0,6.94,1.0,86.69,2.5,0.0,0.75
747080,747080,2,1.0,17.46,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
747813,747813,2,2.0,17.26,2.0,230,132,1,70.0,5.0,0.5,0.0,6.94,1.0,86.69,2.5,0.0,0.75
749482,749482,2,1.0,17.74,2.0,230,132,1,70.0,5.0,0.5,21.67,6.94,1.0,108.36,2.5,0.0,0.75
750015,750015,1,1.0,16.4,2.0,230,132,1,70.0,8.25,0.5,0.5,6.94,1.0,87.19,2.5,0.0,0.75
750258,750258,7,2.0,17.63,5.0,230,132,1,85.0,0.0,0.5,17.95,0.0,1.0,107.7,2.5,0.0,0.75
751458,751458,2,3.0,16.46,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
752071,752071,2,2.0,17.16,2.0,230,132,1,70.0,5.0,0.5,15.0,6.94,1.0,101.69,2.5,0.0,0.75
755216,755216,2,1.0,17.25,2.0,230,132,1,70.0,5.0,0.5,10.0,6.94,1.0,96.69,2.5,0.0,0.75
761643,761643,2,2.0,16.64,2.0,230,132,2,70.0,5.0,0.5,0.0,6.94,1.0,86.69,2.5,0.0,0.75
761742,761742,2,4.0,19.19,1.0,230,132,2,94.7,2.5,0.5,0.0,6.94,1.0,108.89,2.5,0.0,0.75
767462,767462,1,1.0,16.1,2.0,230,132,1,70.0,8.25,0.5,15.95,0.0,1.0,95.7,2.5,0.0,0.75
780251,780251,2,1.0,17.31,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
789678,789678,2,3.0,17.5,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
789782,789782,2,2.0,16.4,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
790048,790048,2,2.0,16.91,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
790055,790055,1,1.0,16.8,2.0,230,132,2,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
790341,790341,2,1.0,18.47,2.0,230,132,1,70.0,0.0,0.5,24.28,6.94,1.0,105.97,2.5,0.0,0.75
790869,790869,2,1.0,16.61,2.0,230,132,1,70.0,0.0,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
791000,791000,2,1.0,16.89,2.0,230,132,1,70.0,0.0,0.5,12.0,6.94,1.0,93.69,2.5,0.0,0.75
792365,792365,2,2.0,18.3,2.0,230,132,1,70.0,0.0,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
792411,792411,2,3.0,16.68,2.0,230,132,1,70.0,0.0,0.5,24.51,6.94,1.0,106.2,2.5,0.0,0.75
793191,793191,1,1.0,16.6,5.0,230,132,3,87.0,0.75,0.0,0.0,6.94,1.0,95.69,0.0,0.0,0.75
795193,795193,2,2.0,21.57,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
795643,795643,1,1.0,16.4,2.0,230,132,1,70.0,3.25,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
795993,795993,2,2.0,17.46,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
796753,796753,2,4.0,19.55,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
796941,796941,2,3.0,17.16,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
798604,798604,2,2.0,24.7,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
799098,799098,2,2.0,15.38,2.0,230,132,1,70.0,0.0,0.5,14.0,10.0,1.0,98.75,2.5,0.0,0.75
800162,800162,1,1.0,18.3,2.0,230,132,1,70.0,3.25,0.5,0.0,4.0,1.0,78.75,2.5,0.0,0.75
802737,802737,2,1.0,18.01,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,84.19,2.5,0.0,0.75
803038,803038,2,1.0,16.13,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
804518,804518,2,2.0,17.74,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
804591,804591,2,1.0,16.28,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
809419,809419,2,1.0,16.61,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
809780,809780,2,3.0,16.51,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
810048,810048,7,2.0,16.26,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
811690,811690,2,2.0,16.59,2.0,230,132,1,70.0,0.0,0.5,20.0,6.94,1.0,101.69,2.5,0.0,0.75
812170,812170,2,2.0,17.89,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
813433,813433,1,1.0,16.8,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
816206,816206,1,1.0,17.6,5.0,230,132,2,85.0,0.75,0.0,0.0,6.94,1.0,93.69,0.0,0.0,0.75
818619,818619,2,1.0,18.54,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
818812,818812,2,1.0,17.72,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
818943,818943,2,2.0,17.96,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
819154,819154,2,1.0,17.23,2.0,230,132,1,70.0,0.0,0.5,18.69,0.0,1.0,93.44,2.5,0.0,0.75
819689,819689,2,2.0,17.95,2.0,230,132,1,70.0,0.0,0.5,0.05,13.88,1.0,88.68,2.5,0.0,0.75
819702,819702,2,4.0,16.46,5.0,230,132,1,83.0,0.0,0.0,17.45,0.0,1.0,104.7,2.5,0.0,0.75
820237,820237,2,1.0,16.42,2.0,230,132,1,70.0,0.0,0.5,3.0,6.94,1.0,84.69,2.5,0.0,0.75
820848,820848,2,1.0,18.26,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
821474,821474,2,1.0,16.06,5.0,230,132,1,82.0,0.0,0.0,17.25,0.0,1.0,103.5,2.5,0.0,0.75
822870,822870,2,2.0,17.24,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
823087,823087,1,1.0,17.4,2.0,230,132,1,70.0,3.25,0.5,25.0,6.94,1.0,106.69,2.5,0.0,0.75
825322,825322,2,1.0,18.46,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
825751,825751,2,2.0,17.32,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
826725,826725,2,1.0,17.85,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
826870,826870,1,1.0,16.6,2.0,230,132,1,70.0,3.25,0.5,20.4,6.94,1.0,102.09,2.5,0.0,0.75
827268,827268,2,1.0,16.98,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
830250,830250,2,1.0,18.81,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
830606,830606,2,1.0,20.33,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
832410,832410,1,1.0,15.6,2.0,230,132,1,70.0,3.25,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
833185,833185,1,1.0,17.0,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
834427,834427,2,4.0,16.69,5.0,230,132,1,85.0,0.0,0.0,10.0,0.0,1.0,99.25,2.5,0.0,0.75
834626,834626,2,2.0,17.29,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
834828,834828,2,4.0,17.59,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
836739,836739,2,1.0,17.78,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
838533,838533,2,2.0,15.68,2.0,230,132,1,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
838768,838768,1,1.0,17.4,2.0,230,132,2,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
839008,839008,1,1.0,15.2,2.0,230,132,1,70.0,3.25,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
840843,840843,2,2.0,15.85,2.0,230,132,1,70.0,0.0,0.5,18.69,0.0,1.0,93.44,2.5,0.0,0.75
841001,841001,1,1.0,16.5,2.0,230,132,1,70.0,3.25,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
842158,842158,2,1.0,18.47,5.0,230,132,2,80.0,0.0,0.0,0.0,0.0,1.0,84.25,2.5,0.0,0.75
842355,842355,2,2.0,15.05,5.0,230,132,2,-85.0,0.0,0.0,0.0,-6.94,-1.0,-96.19,-2.5,0.0,-0.75
842356,842356,2,2.0,15.05,5.0,230,132,2,85.0,0.0,0.0,0.0,6.94,1.0,96.19,2.5,0.0,0.75
843133,843133,2,2.0,17.51,2.0,230,132,2,70.0,5.0,0.5,0.0,6.94,1.0,86.69,2.5,0.0,0.75
843609,843609,2,2.0,16.83,2.0,230,132,2,70.0,5.0,0.5,0.0,0.0,1.0,79.75,2.5,0.0,0.75
843622,843622,2,3.0,19.23,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
847594,847594,2,1.0,17.42,2.0,230,132,2,70.0,5.0,0.5,0.0,0.0,1.0,79.75,2.5,0.0,0.75
847708,847708,2,3.0,16.04,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
847855,847855,2,1.0,15.84,5.0,230,132,1,90.0,0.0,0.0,21.79,14.69,1.0,130.73,2.5,0.0,0.75
848136,848136,2,2.0,15.19,5.0,230,132,1,87.0,0.0,0.0,5.0,6.94,1.0,103.19,2.5,0.0,0.75
849358,849358,2,3.0,18.54,2.0,230,132,1,70.0,5.0,0.5,26.01,6.94,1.0,112.7,2.5,0.0,0.75
849794,849794,1,1.0,16.2,2.0,230,132,1,70.0,8.25,0.5,17.35,6.94,1.0,104.04,2.5,0.0,0.75
855170,855170,1,1.0,16.5,2.0,230,132,1,70.0,8.25,0.5,0.0,6.94,1.0,86.69,2.5,0.0,0.75
855552,855552,2,1.0,17.35,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
855828,855828,2,3.0,17.24,2.0,230,132,1,70.0,5.0,0.5,10.0,6.94,1.0,96.69,2.5,0.0,0.75
856643,856643,2,1.0,15.97,5.0,230,132,1,85.0,0.0,0.0,19.24,6.94,1.0,115.43,2.5,0.0,0.75
857083,857083,2,2.0,16.4,5.0,230,132,4,-85.0,0.0,0.0,0.0,-7.0,-1.0,-96.25,-2.5,0.0,-0.75
857084,857084,2,2.0,16.4,5.0,230,132,4,85.0,0.0,0.0,0.0,7.0,1.0,96.25,2.5,0.0,0.75
857393,857393,2,1.0,17.94,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
859319,859319,2,1.0,17.88,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
860353,860353,2,2.0,17.75,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
860945,860945,2,2.0,17.44,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
861004,861004,7,1.0,17.44,2.0,230,132,1,70.0,0.0,0.5,15.95,0.0,1.0,95.7,2.5,0.0,0.75
866180,866180,2,3.0,18.67,1.0,230,132,4,-88.4,-2.5,-0.5,0.0,-6.94,-1.0,-102.59,-2.5,0.0,-0.75
866181,866181,2,3.0,18.67,1.0,230,132,4,88.4,2.5,0.5,0.0,6.94,1.0,102.59,2.5,0.0,0.75
867986,867986,1,1.0,17.3,2.0,230,132,1,70.0,8.25,0.5,17.3,6.94,1.0,103.99,2.5,0.0,0.75
869875,869875,2,1.0,17.36,2.0,230,132,1,70.0,5.0,0.5,10.0,6.94,1.0,96.69,2.5,0.0,0.75
870169,870169,1,2.0,17.6,5.0,230,132,1,86.69,0.75,0.0,0.0,0.0,1.0,88.44,0.0,0.0,0.75
871294,871294,2,1.0,18.36,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
873369,873369,2,1.0,16.99,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
876345,876345,2,1.0,2.78,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
880255,880255,2,3.0,17.47,2.0,230,132,4,-70.0,0.0,-0.5,0.0,-6.94,-1.0,-81.69,-2.5,0.0,-0.75
880256,880256,2,3.0,17.47,2.0,230,132,4,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
884381,884381,2,4.0,16.3,5.0,230,132,1,83.0,0.0,0.0,2.75,0.0,1.0,90.0,2.5,0.0,0.75
896067,896067,2,1.0,17.39,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
898859,898859,1,1.0,16.7,2.0,230,132,3,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
899234,899234,2,1.0,17.78,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
899624,899624,2,2.0,17.75,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
899799,899799,1,1.0,17.3,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
899810,899810,2,1.0,17.43,2.0,230,132,1,70.0,0.0,0.5,16.19,6.94,1.0,97.88,2.5,0.0,0.75
899883,899883,1,0.0,16.7,2.0,230,132,1,70.0,3.25,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
900032,900032,2,2.0,17.41,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
900379,900379,2,2.0,17.86,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
900568,900568,2,2.0,17.66,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
902016,902016,2,2.0,17.58,2.0,230,132,1,70.0,0.0,0.5,16.84,6.94,1.0,101.03,2.5,0.0,0.75
904696,904696,2,4.0,16.84,5.0,230,132,2,-87.0,0.0,0.0,0.0,-6.94,-1.0,-98.19,-2.5,0.0,-0.75
904697,904697,2,4.0,16.84,5.0,230,132,2,87.0,0.0,0.0,0.0,6.94,1.0,98.19,2.5,0.0,0.75
905799,905799,2,1.0,17.47,2.0,230,132,1,70.0,0.0,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
909563,909563,2,2.0,18.54,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
910342,910342,2,1.0,17.85,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
911822,911822,2,2.0,16.7,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
913881,913881,1,1.0,16.6,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
915544,915544,2,1.0,16.84,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
915951,915951,2,1.0,18.04,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
915952,915952,2,4.0,21.92,2.0,230,132,1,70.0,0.0,0.5,16.19,6.94,1.0,97.88,2.5,0.0,0.75
